"","name","pweight_x","pweight_y","pop11","number_lsoa","type","number_oa","imputed_easting","imputed_northing","imputed_type","imputed_error","imputed_osm_nm"
"24","Blackfield BUA",444091.946274909,102879.435083478,14287,10,"bua",NA,444091.946274909,102879.435083478,"Origin",NA,NA
"25","Blandford Forum BUA",388830.962212276,106736.455655704,12419,6,"bua",NA,388830.962212276,106736.455655704,"Origin",NA,NA
"26","Blyth (Northumberland) BUA",430475.061857291,580728.396847925,37339,22,"bua",NA,431869.051531654,581195.669401955,"town",1470.22136155757,332
"27","Bodmin BUA",206767.989410847,66696.1572427695,14736,9,"bua",NA,206773.245208745,66980.3073488333,"town",284.198708983021,64
"28","Bognor Regis BUA",493109.859395609,99683.9247745888,64712,41,"bua",NA,493109.859395609,99683.9247745888,"Origin",NA,NA
"29","Bolsover BUA",447230.660103965,370857.221448629,11673,8,"bua",NA,447409.47936995,370414.747492116,"town",477.241586703825,334
"30","Boston BUA",532702.912539303,343905.121840423,39818,22,"bua",NA,532775.476121483,344014.445266045,"town",131.213889693597,337
"31","Bourne BUA",509640.355545511,320271.806501965,14456,10,"bua",NA,509640.355545511,320271.806501965,"Origin",NA,NA
"32","Brackley BUA",458341.66981279,237650.490859739,13018,9,"bua",NA,458341.66981279,237650.490859739,"Origin",NA,NA
"33","Brentwood BUA",560274.911200208,194114.760103147,54158,33,"bua",NA,560274.911200208,194114.760103147,"Origin",NA,NA
"34","Bridgwater BUA",330173.352137422,136957.987096581,41066,26,"bua",NA,329860.107437023,137041.343335348,"town",324.145808039165,72
"35","Bridport BUA",346860.756474504,93006.0958038871,12135,7,"bua",NA,346539.175284297,92960.3853711101,"town",324.813647434744,73
"36","Brixham BUA",292154.223221622,55645.462716052,16693,12,"bua",NA,292444.900992498,56136.5845558383,"town",570.696265974019,75
"37","Buckingham BUA",469962.80710827,233809.003453643,12043,7,"bua",NA,469962.80710827,233809.003453643,"Origin",NA,NA
"38","Burgess Hill BUA",531249.483838721,119288.087992846,30109,19,"bua",NA,531249.483838721,119288.087992846,"Origin",NA,NA
"39","Buxton (High Peak) BUA",406006.353436373,373071.406158001,22686,14,"bua",NA,406096.069016194,373604.243181911,"town",540.337097848836,350
"40","Calne BUA",399874.14023154,171239.969566109,17274,10,"bua",NA,399874.14023154,171239.969566109,"Origin",NA,NA
"41","Canvey Island BUA",579706.213758082,183565.638540315,38170,25,"bua",NA,579706.213758082,183565.638540315,"Origin",NA,NA
"42","Carmarthen BUA",240933.286151871,220154.88129954,16566,11,"bua",NA,240912.697002235,220364.464412433,"town",210.592009090163,93
"43","Catterick Garrison BUA",417930.893009162,497345.910270466,10420,5,"bua",NA,417930.893009162,497345.910270466,"Origin",NA,NA
"44","Chapeltown BUA",434533.255042462,396723.495863457,23056,15,"bua",NA,434533.255042462,396723.495863457,"Origin",NA,NA
"45","Chard BUA",332458.3477631,108816.781747178,11798,8,"bua",NA,332556.221875716,108684.076374776,"town",164.894080502007,97
"46","Chatteris BUA",539370.235505738,285949.866889126,10453,5,"bua",NA,539370.235505738,285949.866889126,"Origin",NA,NA
"47","Cheadle BUA",400970.350436056,343068.275439895,12165,7,"bua",NA,400961.112348126,343693.261871705,"townhall",625.054703377861,NA
"48","Cheltenham BUA",394251.749089715,222168.990980834,114126,74,"bua",NA,394251.749089715,222168.990980834,"Origin",NA,NA
"49","Chippenham (Wiltshire) BUA",391491.814039128,173291.07892017,34434,23,"bua",NA,391491.814039128,173291.07892017,"Origin",NA,NA
"50","Cil-y-coed BUA",348252.391558352,188293.080389128,11737,7,"bua",NA,348017.823409106,188311.922971626,"town",235.323733515512,89
"51","Clacton-on-Sea BUA",617476.151709308,215928.916876409,50548,32,"bua",NA,617476.151709308,215928.916876409,"Origin",NA,NA
"52","Clevedon BUA",340717.303574877,170982.166631638,21281,14,"bua",NA,340827.58590669,171129.973870375,"town",184.415759991102,106
"53","Clitheroe BUA",374152.75086133,441658.769278509,14765,10,"bua",NA,374152.75086133,441658.769278509,"Origin",NA,NA
"54","Cobham (Elmbridge) BUA",512252.89827232,160395.594182941,17930,11,"bua",NA,512252.89827232,160395.594182941,"Origin",NA,NA
"55","Codsall BUA",387199.70995179,303216.921076727,12495,9,"bua",NA,387199.70995179,303216.921076727,"Origin",NA,NA
"56","Congleton BUA",386062.035914877,362986.024809693,26482,16,"bua",NA,385985.423927444,362912.395185612,"town",106.257791058992,369
"57","Conisbrough BUA",450669.600307722,398775.002490576,16466,10,"bua",NA,451015.539496133,398528.93570984,"town",424.526539406572,371
"58","Croesowallt BUA",329439.665873348,329496.217538318,18743,12,"bua",NA,329439.665873348,329496.217538318,"Origin",NA,NA
"59","Crowborough BUA",552055.396671073,130343.757445586,20951,12,"bua",NA,552055.396671073,130343.757445586,"Origin",NA,NA
"60","Darlington BUA",428967.054300864,515232.967018062,88238,55,"bua",NA,429104.01354388,515019.526436024,"town",253.603462729316,380
"61","Daventry BUA",457051.864679711,263050.41354503,25026,14,"bua",NA,457051.864679711,263050.41354503,"Origin",NA,NA
"62","Dawlish BUA",296213.443156291,77229.3584148892,11435,7,"bua",NA,296092.779706579,76585.9869312596,"town",654.588828230486,121
"63","Deal BUA",636912.644781071,151842.057993857,30085,19,"bua",NA,636912.644781071,151842.057993857,"Origin",NA,NA
"64","Dereham BUA",598895.75676995,312765.270452385,20277,11,"bua",NA,598895.75676995,312765.270452385,"Origin",NA,NA
"65","Desborough BUA",480330.676404998,283415.111021988,10697,8,"bua",NA,480330.676404998,283415.111021988,"Origin",NA,NA
"66","Devizes BUA",401086.091145651,161358.429412586,17693,11,"bua",NA,401086.091145651,161358.429412586,"Origin",NA,NA
"67","Dinnington (Rotherham) BUA",452270.455206347,385519.434475639,20257,14,"bua",NA,453093.566659874,386113.077728141,"town",1014.85209571071,383
"68","Dorchester (West Dorset) BUA",368881.014781498,90163.199168288,19060,13,"bua",NA,369040.216650412,90258.835280526,"town",185.71887634177,124
"69","Dover BUA",630586.5471783,142547.363169213,40220,24,"bua",NA,630586.5471783,142547.363169213,"Origin",NA,NA
"70","Downham Market BUA",561253.408987068,303355.967846898,9994,6,"bua",NA,561253.408987068,303355.967846898,"Origin",NA,NA
"71","Driffield BUA",502453.381502012,457794.105068732,13793,8,"bua",NA,502417.710673489,457796.836821538,"town",35.7752775096923,385
"72","Dronfield BUA",435087.548207064,378496.345054943,21261,14,"bua",NA,435687.428810185,378319.76183832,"town",625.330608873631,386
"73","Durham BUA",427971.243122199,543268.011170199,48069,27,"bua",NA,427381.365715015,542471.390070883,"city",991.241913652095,14
"74","Elland BUA",410431.148889742,420976.116145634,14779,9,"bua",NA,410815.534123935,421054.728760307,"town",392.34162594735,395
"75","Ely BUA",553933.859767867,280702.235851066,19162,11,"bua",NA,553933.859767867,280702.235851066,"Origin",NA,NA
"76","Emsworth BUA",475233.374715418,106601.285419423,15985,10,"bua",NA,475233.374715418,106601.285419423,"Origin",NA,NA
"77","Epping BUA",545963.670561098,201987.491856539,9053,6,"bua",NA,545963.670561098,201987.491856539,"Origin",NA,NA
"78","Evesham BUA",403958.943969745,243255.339558202,23428,14,"bua",NA,403958.943969745,243255.339558202,"Origin",NA,NA
"79","Exmouth BUA",301170.625779597,81979.3218043029,34432,21,"bua",NA,300017.234264539,80887.5177685198,"town",1588.19017739089,129
"80","Faversham BUA",601347.434221265,161267.076916475,19316,12,"bua",NA,601347.434221265,161267.076916475,"Origin",NA,NA
"81","Featherstone (Wakefield) BUA",442609.345790091,420494.271322018,9278,6,"bua",NA,442487.795210415,420327.353988082,"town",206.484720470246,499
"82","Fleet BUA",480959.955771853,153695.720534138,37760,23,"bua",NA,480959.955771853,153695.720534138,"Origin",NA,NA
"83","Fleetwood BUA",332442.907005225,447112.897951707,25939,18,"bua",NA,332442.907005225,447112.897951707,"Origin",NA,NA
"84","Formby BUA",329562.398368707,407212.652598486,23845,17,"bua",NA,329562.398368707,407212.652598486,"Origin",NA,NA
"85","Frome BUA",377850.020604836,148114.650431482,26203,17,"bua",NA,377800.472153577,147589.094147846,"town",527.886783591978,135
"86","Gainsborough BUA",482051.051094241,389701.192946031,21973,13,"bua",NA,481621.703572324,389593.744657652,"town",442.588329321591,404
"87","Garforth BUA",440818.935265086,432921.297137271,14857,10,"bua",NA,440118.508796628,432856.120318279,"town",703.452383215095,405
"88","Gerrards Cross BUA",500023.114574887,189915.738470252,19502,12,"bua",NA,500023.114574887,189915.738470252,"Origin",NA,NA
"89","Gillingham (North Dorset) BUA",380686.480096185,126693.495408841,11541,6,"bua",NA,380686.480096185,126693.495408841,"Origin",NA,NA
"90","Great Malvern BUA",378141.647684754,246438.664506263,34144,22,"bua",NA,377780.995122576,246454.098577047,"town",360.982660451181,186
"91","Guisborough BUA",460810.302938312,515559.309014219,17777,11,"bua",NA,461498.013894756,516045.47009522,"town",842.19888167423,412
"92","Hailsham BUA",558894.131926547,109738.527246779,19028,13,"bua",NA,558894.131926547,109738.527246779,"Origin",NA,NA
"93","Halstead BUA",581411.273157788,230311.519679624,11906,7,"bua",NA,581411.273157788,230311.519679624,"Origin",NA,NA
"94","Harpenden BUA",513755.598507032,214422.874389964,27669,18,"bua",NA,513755.598507032,214422.874389964,"Origin",NA,NA
"95","Haverfordwest BUA",194958.714549228,215310.329905733,12583,6,"bua",NA,195660.574766872,215680.321374914,"town",793.411275681652,144
"96","Haverhill BUA",566807.224375114,245687.933974664,27041,14,"bua",NA,566807.224375114,245687.933974664,"Origin",NA,NA
"97","Haxby BUA",460513.902492477,458023.983327828,12038,8,"bua",NA,460513.902492477,458023.983327828,"Origin",NA,NA
"98","Haywards Heath BUA",533659.429046051,124201.04721704,30816,19,"bua",NA,533659.429046051,124201.04721704,"Origin",NA,NA
"99","Henley-on-Thames BUA",475842.505435089,182180.840128445,11619,7,"bua",NA,475842.505435089,182180.840128445,"Origin",NA,NA
"100","Hereford BUA",350732.983692048,239777.403298295,60626,37,"bua",NA,351059.280397236,239907.882367566,"city",351.417596791208,5
"101","Heswall BUA",326879.023128275,383065.099819496,29389,19,"bua",NA,326879.023128275,383065.099819496,"Origin",NA,NA
"102","Hexham BUA",393547.481007438,563710.566400444,9178,5,"bua",NA,393581.711605417,564100.345268741,"town",391.279056440665,431
"103","Hinckley BUA",442688.948136457,293696.183663593,43500,28,"bua",NA,442688.948136457,293696.183663593,"Origin",NA,NA
"104","Holyhead BUA",224619.566963425,382255.646726726,11431,8,"bua",NA,224619.566963425,382255.646726726,"Origin",NA,NA
"105","Honiton BUA",316057.467839601,100215.984729104,11483,8,"bua",NA,316058.076490833,100516.921184604,"town",300.93707100566,150
"106","Huntingdon BUA",524068.956546618,272818.683865415,23732,14,"bua",NA,524068.956546618,272818.683865415,"Origin",NA,NA
"107","Hurstpierpoint BUA",529810.689559816,116104.526007019,12509,8,"bua",NA,529810.689559816,116104.526007019,"Origin",NA,NA
"108","Hythe BUA",441769.390552153,106861.738098208,20526,13,"bua",NA,441769.390552153,106861.738098208,"Origin",NA,NA
"109","Ilfracombe BUA",251896.944313497,147205.060032123,11509,8,"bua",NA,251623.102635422,147531.791607534,"town",426.313015308734,152
"110","Ilkley BUA",411963.966583599,447713.716449513,14809,9,"bua",NA,411626.242962663,447746.714029725,"town",339.331820549962,447
"111","Ivybridge BUA",263372.584194325,56218.5183296904,11851,7,"bua",NA,263776.526546102,56420.3860398392,"town",451.5750169791,154
"112","Kenilworth BUA",429298.205547129,271924.729995269,20283,13,"bua",NA,429298.205547129,271924.729995269,"Origin",NA,NA
"113","Keynsham BUA",365317.64437162,167962.40679472,15641,10,"bua",NA,365283.034934641,168559.435083291,"town",598.030593265897,155
"114","King's Lynn BUA",563445.213718632,320813.055485104,44666,27,"bua",NA,563445.213718632,320813.055485104,"Origin",NA,NA
"115","Kirkby BUA",341301.629027623,398837.487736168,42401,27,"bua",NA,341301.629027623,398837.487736168,"Origin",NA,NA
"116","Knutsford BUA",375554.400361297,378519.340304075,13191,9,"bua",NA,375554.400361297,378519.340304075,"Origin",NA,NA
"117","Leighton Buzzard BUA",492270.221228751,225280.193338221,37469,24,"bua",NA,492270.221228751,225280.193338221,"Origin",NA,NA
"118","Leominster BUA",349146.069211081,258912.452377405,11691,8,"bua",NA,349720.627972031,259051.344611811,"town",591.108131024362,165
"119","Lewes BUA",541053.907825292,110407.186830454,17297,11,"bua",NA,541053.907825292,110407.186830454,"Origin",NA,NA
"120","Lichfield BUA",411883.154546653,309687.992738255,32219,18,"bua",NA,411883.154546653,309687.992738255,"Origin",NA,NA
"121","Llandudno BUA",278498.480382384,381749.162432036,15818,9,"bua",NA,278498.480382384,381749.162432036,"Origin",NA,NA
"122","Loughborough BUA",452685.632252515,319191.977499956,60367,35,"bua",NA,452685.632252515,319191.977499956,"Origin",NA,NA
"123","Louth BUA",533364.734987051,387567.396397325,16419,11,"bua",NA,533022.905992371,387487.194368609,"town",351.111701618845,472
"124","Lowestoft BUA",653168.072609575,292776.886224807,70451,46,"bua",NA,653168.072609575,292776.886224807,"Origin",NA,NA
"125","Ludlow BUA",351804.347212354,275021.783489669,10939,8,"bua",NA,351120.678148198,274681.469216039,"town",763.6865810789,179
"126","Lymm BUA",368540.811754021,387363.794542728,12350,7,"bua",NA,368540.811754021,387363.794542728,"Origin",NA,NA
"127","Mablethorpe BUA",551074.786237234,383600.161613596,10372,5,"bua",NA,550608.115031826,385040.429483286,"town",1513.98598091847,473
"128","Maghull BUA",337676.239212238,402453.430320626,26752,18,"bua",NA,337676.239212238,402453.430320626,"Origin",NA,NA
"129","Maidstone BUA",576415.334020166,154950.406335941,107506,65,"bua",NA,576415.334020166,154950.406335941,"Origin",NA,NA
"130","Maldon BUA",585262.181848218,206944.998195217,21264,14,"bua",NA,585262.181848218,206944.998195217,"Origin",NA,NA
"131","March BUA",541655.116620002,297050.110010103,20581,11,"bua",NA,541655.116620002,297050.110010103,"Origin",NA,NA
"132","Market Deeping BUA",514319.884775368,310274.142205156,11860,8,"bua",NA,514319.884775368,310274.142205156,"Origin",NA,NA
"133","Market Drayton BUA",366922.406453763,334105.22841841,11773,7,"bua",NA,366922.406453763,334105.22841841,"Origin",NA,NA
"134","Market Harborough BUA",473405.129677459,287126.801827209,21223,13,"bua",NA,473405.129677459,287126.801827209,"Origin",NA,NA
"135","Marple BUA",395794.583508443,388738.281692087,17109,12,"bua",NA,395487.978930812,388466.74012441,"town",409.562193080372,480
"136","Matlock BUA",429351.529672855,361193.588006171,14956,10,"bua",NA,429902.774789854,360125.64323842,"town",1201.82245193815,482
"137","Melksham BUA",390950.444411398,163691.874798531,16712,11,"bua",NA,390950.444411398,163691.874798531,"Origin",NA,NA
"138","Melton Mowbray BUA",475148.507437041,319243.932253657,27158,16,"bua",NA,475148.507437041,319243.932253657,"Origin",NA,NA
"139","Merthyr Tydfil BUA",305199.589615245,206737.844960818,42170,25,"bua",NA,304924.899249718,206495.836935887,"town",366.09108298964,188
"140","Middlewich BUA",370386.405162735,365652.744329855,13595,9,"bua",NA,370386.405162735,365652.744329855,"Origin",NA,NA
"141","Milford Haven BUA",190369.244736818,206314.043327531,13907,8,"bua",NA,190815.885911246,205791.248186978,"town",687.606790018488,191
"142","Minehead BUA",296946.115563761,145856.79792165,11981,7,"bua",NA,296819.889871122,146210.183249483,"town",375.252069160845,192
"143","Mold BUA",323574.306613519,363789.43147645,10058,7,"bua",NA,323574.306613519,363789.43147645,"Origin",NA,NA
"144","Monmouth BUA",350586.740423923,212876.404723598,10508,6,"bua",NA,350586.740423923,212876.404723598,"Origin",NA,NA
"145","Morpeth BUA",419904.418226542,585405.931327116,15956,10,"bua",NA,420079.740644455,586429.795366317,"town",1038.76634571561,491
"146","Mountain Ash BUA",305001.140360785,198668.69344827,10373,7,"bua",NA,304777.665436555,199269.18903962,"townhall",640.730830373126,996
"147","Nantwich BUA",365409.497125715,352175.716561483,16484,12,"bua",NA,365409.497125715,352175.716561483,"Origin",NA,NA
"148","Neston BUA",329470.045886182,377177.307344724,14268,8,"bua",NA,329470.045886182,377177.307344724,"Origin",NA,NA
"149","New Addington BUA",538366.133716599,162742.505604951,22280,14,"bua",NA,538366.133716599,162742.505604951,"Origin",NA,NA
"150","New Rossington BUA",461834.852358829,397972.726542657,13537,9,"bua",NA,461834.852358829,397972.726542657,"Origin",NA,NA
"151","Newhaven BUA",544563.987368635,101547.64188324,13757,9,"bua",NA,544563.987368635,101547.64188324,"Origin",NA,NA
"152","Newmarket BUA",563922.162084949,263951.156724331,21414,13,"bua",NA,563922.162084949,263951.156724331,"Origin",NA,NA
"153","Newport (Isle of Wight) BUA",449423.933803084,89176.9187792647,22780,14,"bua",NA,449423.933803084,89176.9187792647,"Origin",NA,NA
"154","Newport (Telford and Wrekin) BUA",374638.817213493,319034.440961846,13209,9,"bua",NA,374568.651699149,319096.535696627,"town",93.6960804445166,6
"155","Newquay BUA",181988.240180731,61536.931067937,19853,12,"bua",NA,181481.694153419,61479.2092929448,"town",509.824166839978,206
"156","Newton Aycliffe BUA",427488.952227051,525343.134588378,23037,16,"bua",NA,427760.794784483,525577.603687051,"town",358.990437565678,497
"157","Newtown (Powys) BUA",310419.833029127,291340.854228069,11357,6,"bua",NA,310900.385395644,291444.52472439,"town",491.607718382065,208
"158","North Walsham BUA",628672.552622864,330333.476707186,9732,7,"bua",NA,628346.165779511,330031.858669105,"town",444.411759981521,501
"159","Northallerton BUA",436979.909917254,493551.292287397,16832,11,"bua",NA,436860.829705237,494028.154838122,"town",491.50583839683,502
"160","Oakham BUA",485841.400950094,308862.122070036,11129,6,"bua",NA,485841.400950094,308862.122070036,"Origin",NA,NA
"161","Ormskirk BUA",340999.311598573,407671.082746287,24410,17,"bua",NA,340999.311598573,407671.082746287,"Origin",NA,NA
"162","Oxted BUA",539825.05255132,152078.962980081,12956,8,"bua",NA,539825.05255132,152078.962980081,"Origin",NA,NA
"163","Peacehaven BUA",540945.950583895,101654.875044603,17133,11,"bua",NA,540945.950583895,101654.875044603,"Origin",NA,NA
"164","Penrith BUA",351683.85419952,530202.066694664,15487,11,"bua",NA,351578.152770103,530130.11063269,"town",127.868944766295,880
"165","Petersfield BUA",474956.009136439,123452.982370742,14974,9,"bua",NA,474956.009136439,123452.982370742,"Origin",NA,NA
"166","Ponteland BUA",415626.947291817,571915.049903867,10921,7,"bua",NA,415626.947291817,571915.049903867,"Origin",NA,NA
"167","Porthcawl BUA",282145.403704365,177649.359906243,16005,10,"bua",NA,281759.93896513,176999.530615209,"town",755.553553813021,231
"168","Portishead BUA",346456.981504658,176230.842215621,24526,16,"bua",NA,346148.904496472,176034.350815476,"town",365.404314839937,233
"169","Potters Bar BUA",525382.582644209,201322.701958713,23454,15,"bua",NA,525382.582644209,201322.701958713,"Origin",NA,NA
"170","Pyle BUA",282561.322970766,182212.427206474,14464,9,"bua",NA,282601.359541257,182474.88266308,"town",265.491607548979,236
"171","Retford BUA",470375.026264674,380879.143885744,22350,15,"bua",NA,470284.098315631,380718.759185568,"town",184.366873292755,521
"172","Ripon BUA",430909.857079349,471003.72154076,16702,11,"bua",NA,431372.790945289,471332.091795942,"city",567.569192894707,21
"173","Ross-on-Wye BUA",359966.994783825,224091.910580334,10582,7,"bua",NA,359939.407379981,224108.206030412,"town",32.0407013676089,243
"174","Royston BUA",535864.156233556,241181.149649802,15781,9,"bua",NA,535864.156233556,241181.149649802,"Origin",NA,NA
"175","Rugeley BUA",404090.730323159,317812.533670125,24560,15,"bua",NA,404090.730323159,317812.533670125,"Origin",NA,NA
"176","Saffron Walden BUA",554152.070517021,238082.147052797,15504,9,"bua",NA,554152.070517021,238082.147052797,"Origin",NA,NA
"177","Salisbury BUA",414004.980711969,130574.492048714,43488,28,"bua",NA,414004.980711969,130574.492048714,"Origin",NA,NA
"178","Saltash BUA",241891.716244386,59008.3075935082,16419,11,"bua",NA,243106.28101896,58713.9173909214,"town",1249.73324474241,245
"179","Sandbach BUA",375092.107331621,360776.529590646,17976,12,"bua",NA,375092.107331621,360776.529590646,"Origin",NA,NA
"180","Scarborough BUA",503523.72623865,487653.709416813,58763,38,"bua",NA,503670.685882965,488848.022834757,"town",1203.32110317117,535
"181","Scunthorpe BUA",489021.269442206,409591.485216834,80193,49,"bua",NA,489461.615879162,411429.366341725,"town",1889.89735535275,537
"182","Seaford BUA",548897.460000027,99616.0838434759,21939,14,"bua",NA,548897.460000027,99616.0838434759,"Origin",NA,NA
"183","Seaham BUA",441701.167744594,549280.872799855,22690,16,"bua",NA,442774.026169076,549356.36983149,"town",1075.51150657187,538
"184","Selsey BUA",485744.073796347,93243.8065684639,10737,7,"bua",NA,485744.073796347,93243.8065684639,"Origin",NA,NA
"185","Sheerness BUA",592212.182348679,174419.64863603,11938,8,"bua",NA,592212.182348679,174419.64863603,"Origin",NA,NA
"186","Shepshed BUA",447810.996030282,319311.232436704,13505,8,"bua",NA,447810.996030282,319311.232436704,"Origin",NA,NA
"187","Shepton Mallet BUA",361806.010745069,143357.62564608,10369,6,"bua",NA,361931.308249111,143666.545236248,"town",333.362831924271,248
"188","Shirebrook BUA",452250.188039073,367746.26478634,10885,6,"bua",NA,452159.118954605,367976.194848349,"town",247.308332979426,546
"189","Shrewsbury BUA",349519.570758837,313039.407600736,71715,43,"bua",NA,349153.295987189,312513.577261924,"town",640.823496417759,251
"190","Sidmouth BUA",312615.184671888,88842.1178175636,11550,7,"bua",NA,313474.719569392,90066.0738280532,"town",1495.6164467003,253
"191","Sittingbourne BUA",590629.699276894,164086.852102552,48517,29,"bua",NA,590629.699276894,164086.852102552,"Origin",NA,NA
"192","Skegness BUA",556107.124233987,365362.302812326,25089,15,"bua",NA,556799.604008454,363297.395060181,"town",2177.92843383682,547
"193","Skipton BUA",398989.38508652,451472.079139447,14623,9,"bua",NA,399045.968236051,451751.892368153,"town",285.476961889898,549
"194","Sleaford BUA",506365.136414693,345597.248879117,17671,10,"bua",NA,506842.734731526,345749.228030828,"town",501.196383462987,550
"195","Snodland BUA",570040.598712887,161602.25819582,10211,5,"bua",NA,570040.598712887,161602.25819582,"Origin",NA,NA
"196","South Hayling BUA",472392.555990697,99266.9047651224,16108,10,"bua",NA,472392.555990697,99266.9047651224,"Origin",NA,NA
"197","South Ockendon BUA",558843.022641396,181610.98093243,19460,12,"bua",NA,558843.022641396,181610.98093243,"Origin",NA,NA
"198","South Woodham Ferrers BUA",580825.137954533,197146.186937847,16453,11,"bua",NA,580825.137954533,197146.186937847,"Origin",NA,NA
"199","Southport BUA",334285.29924733,416340.67308755,88870,60,"bua",NA,334285.29924733,416340.67308755,"Origin",NA,NA
"200","Spalding BUA",524413.380741208,322941.688773075,32465,18,"bua",NA,524748.231816697,322703.242419462,"town",411.074088586283,558
"201","Spennymoor BUA",425856.813615835,534074.037290259,14831,9,"bua",NA,425802.58311542,533908.662793197,"town",174.039281352529,559
"202","Stanford-le-Hope BUA",569452.519672005,183390.419767509,28971,20,"bua",NA,569452.519672005,183390.419767509,"Origin",NA,NA
"203","Stocksbridge BUA",427310.274772945,398008.951574005,13455,9,"bua",NA,427294.928742384,398496.234507821,"town",487.524520657272,569
"204","Stone (Stafford) BUA",390395.868018169,333466.189596132,16385,10,"bua",NA,390158.183706659,333995.434499378,"town",580.167216886234,572
"205","Stratford-upon-Avon BUA",419881.11107166,255136.696610755,27445,16,"bua",NA,419881.11107166,255136.696610755,"Origin",NA,NA
"206","Street BUA",348058.297630151,136298.172848822,13041,8,"bua",NA,346437.987226942,136520.12799427,"townhall",1635.44180249225,NA
"207","Stubbington BUA",455901.815325751,101933.851120804,24937,16,"bua",NA,455901.815325751,101933.851120804,"Origin",NA,NA
"208","Sudbury BUA",588020.680052425,241282.23639108,21971,15,"bua",NA,588020.680052425,241282.23639108,"Origin",NA,NA
"209","Swanage BUA",402100.816219298,78967.6741847871,11092,8,"bua",NA,402100.816219298,78967.6741847871,"Origin",NA,NA
"210","Tavistock BUA",248117.518386998,73855.3716399398,12280,7,"bua",NA,248158.16990914,74402.6353400924,"town",548.77144947345,265
"211","Tewkesbury BUA",390726.570503106,232868.002581493,20210,13,"bua",NA,390726.570503106,232868.002581493,"Origin",NA,NA
"212","Thame BUA",471231.765589213,205846.383565746,9851,7,"bua",NA,471231.765589213,205846.383565746,"Origin",NA,NA
"213","Thetford BUA",587029.153470788,283338.266339889,24340,14,"bua",NA,587029.153470788,283338.266339889,"Origin",NA,NA
"214","Thornbury BUA",364355.80194078,190276.808513998,10772,7,"bua",NA,363705.854504036,190017.027912789,"town",699.94116273731,270
"215","Tiverton BUA",296057.115319598,112929.404719689,20069,11,"bua",NA,295381.224374372,112530.015608296,"town",785.073392835722,271
